licence_area,Biofuel - Biogas,Biomass,Demand,Electric Vehicles,Fossil - Gas,Fossil - Oil,Other,Solar,Stored Energy (all),Water,Wind,LongName
Eastern Power Networks Plc,,,776.46,1.56,36.0,,,533.1,603.44,,1265.25,UKPN (East)
Electricity North West Limited,,,,,,31.06,102.9,,,,,ENWL
London Power Networks Plc,,,14.41,,,,,,2.6,,,UKPN (London)
National Grid Electricity Distribution (East Midlands) Plc,,,9.2,,,,45.93,,,,,WPD (East Midlands)
National Grid Electricity Distribution (South Wales) Plc,,,,,,,0.06,,,,,WPD (South Wales)
National Grid Electricity Distribution (South West) Plc,,,,,105.6,,0.14,,728.0,,,WPD (South West)
National Grid Electricity Distribution (West Midlands) Plc,,,,,,,0.16,344.0,,,,WPD (Midlands)
Northern Powergrid (Northeast) Limited,,,1.58,,,,,,,,,NPG (Northern Electric)
Northern Powergrid (Yorkshire) Plc,12.6,,6.31,,,,,,,,,NPG (Yorkshire Electric)
SP Distribution plc,,,837.56,,,,,,29.9,,,SSE
SP Manweb plc,,,723.83,,352.91,,,,52.18,2.3,,SSE (Southern)
Scottish Hydro Electric Power Distribution Plc,,,,,,,,,,5.85,,UKPN (South)
South Eastern Power Networks Plc,,33.5,505.64,0.24,166.92,,,27.63,131.16,,,SPEN (SP Distribution)
Southern Electric Power Distribution Plc,,,108.08,,78.0,,,,20.7,,,SPEN (SP MANWEB)
