features.type,features.geometry,features.properties.NAME,features.properties.REFERENCE,features.properties.ASSETTYPE,features.properties.ASSETLOCATION,features.properties.CNTR_X,features.properties.CNTR_Y,lacd
"Feature","","Pudsey road culvert","","Complex Culvert","Todmorden",390898.974,426666.039,"E08000033"
"Feature","","Carr house Lane Culvert","","Complex Culvert","Shelf",413134.018,429179.013,"E08000033"
"Feature","","Birkhouse Road Culvert","","Complex Culvert","Brighouse",415137.967,424980.019,"E08000033"
"Feature","","Cragg Road Culvert","","Complex Culvert","Mytholmroyd",400784,425637.046,"E08000033"
"Feature","","Haigh Cote Barn Culvert","","Complex Culvert","Wainstalls",404283.994,430073.975,"E08000033"
"Feature","","Blackshaw Clough Culvert","","Complex Culvert","Lighthazles",402298.003,420735.067,"E08000033"
"Feature","","Sykes gate culvert","","Complex Culvert","Cragg Vale - Under Sykes Gate Road",399864.029,421427.017,"E08000033"
"Feature","","Blackstone edge culvert","","Complex Culvert","Cragg Vale",399797.997,421515.024,"E08000033"
"Feature","","Withens Road Culvert","","Complex Culvert","Wainstalls",404701.994,430262.957,"E08000033"
"Feature","","Lumb Lane Culvert","","Complex Culvert","Wainstalls",404571.005,429647.993,"E08000033"
"Feature","","Carr house Road Culvert","","Complex Culvert","Shelf",413171.972,429068.976,"E08000033"
"Feature","","Walshaw Dean Lower Reservoir culvert","","Complex Culvert","Colden",395336.04,432600.961,"E08000033"
"Feature","","Pennine Way culvert 2","","Complex Culvert","Hebden Bridge",398066.991,426133.983,"E08000033"
"Feature","","Hollin Lane Culvert 2","","Complex Culvert","Ripponden",401868.019,419261.932,"E08000033"
"Feature","","Hollin Lane Culvert","","Complex Culvert","Ripponden",401897.003,419134.997,"E08000033"
"Feature","","Rochdale Road Culvert","","Complex Culvert","Ripponden",401828.004,419002.017,"E08000033"
"Feature","","Blackstone Edge Road Culvert 3","","Complex Culvert","Cragg Vale",398822.99,420275.963,"E08000033"
"Feature","","Stoodley Lane Culvert","","Complex Culvert","Todmorden",396355.998,424939.994,"E08000033"
"Feature","","Private Estate Culvert 2","","Complex Culvert","Brighouse",417426.049,422109.034,"E08000033"
"Feature","","Blackstone edge road culvert","","Complex Culvert","Cragg Vale",399211.012,420670.966,"E08000033"
"Feature","","Armytage Road Culvert","","Complex Culvert","Brighouse",415003.006,422684.978,"E08000033"
"Feature","","Culvert under access track - Greenland Road","","Complex Culvert","Blackshaw Head",393558.254,427855.473,"E08000033"
"Feature","","Grey Stone Lane Footbridge","","Complex Culvert","Upper Eastwood",395939.859,425998.888,"E08000033"
"Feature","","Rochdale Road Culvert 2","","Complex Culvert","Ripponden",401697.987,419164.963,"E08000033"
"Feature","","Lower woodfield farm culvert","","Complex Culvert","Clough Foot",391369.003,424454.018,"E08000033"
"Feature","","Otter Lee Lane asset","","Complex Culvert","Cotton Stones",402930.988,421799.024,"E08000033"
"Feature","","Culvert under bridleway","","Complex Culvert","Pecket Well",399477.998,432410.001,"E08000033"
"Feature","","Walshaw Culvert 2","","Complex Culvert","Shackleton",397470.201,431558.432,"E08000033"
"Feature","","Private Estate Culvert 3","","Complex Culvert","Brighouse",417032.02,422502.018,"E08000033"
"Feature","","Black Stone Edge Culvert 9","","Complex Culvert","Cragg Vale",399906.024,422461.044,"E08000033"
"Feature","","Private Estate Culvert 1","","Complex Culvert","Brighouse",417553.997,422024.948,"E08000033"
"Feature","","Long Causeway Culvert","","Complex Culvert","Ripponden",401250.986,418426.967,"E08000033"
"Feature","","NationalTrail_OfflineDrains","","Complex Culvert","Hebden Bridge",398308.988,426666.039,"E08000033"
"Feature","","Blake Law Lane Culvert","","Complex Culvert","Brighouse",416864.012,422717.036,"E08000033"
"Feature","","M62 Motoway Culvert","","Complex Culvert","Brighouse",416898.012,422661.973,"E08000033"
"Feature","","Moselden Lane Culvert 5","","Complex Culvert","Booth Wood",403239.007,416463.021,"E08000033"
"Feature","","Pike End Road Culvert","","Complex Culvert","Booth Wood",403015.996,417044.966,"E08000033"
"Feature","","Pike End Road Culvert 2","","Complex Culvert","Rishworth",402955.027,417416.967,"E08000033"
"Feature","","Moselden Lane Culvert 4","","Complex Culvert","Booth Wood",403268.017,416480.062,"E08000033"
"Feature","","Moselden Lame Culvert 3","","Complex Culvert","Booth Wood - Culvert beneath Moselden Road",403676.029,416761.053,"E08000033"
"Feature","","Oldham Road Culvert 2","","Complex Culvert","Booth Wood",403418.03,417033.999,"E08000033"
"Feature","","Oldham Road Culvert","","Complex Culvert","Booth Wood",403295.022,416728.071,"E08000033"
"Feature","","Ringstone Edge Reservoir","","Complex Culvert","Rishworth",404915.983,417790.034,"E08000033"
"Feature","","Yorkshire Water Stone Culvert","","Complex Culvert","Colden",394752.911,432027.593,"E08000033"
"Feature","","Box culvert inlet","","Complex Culvert","Wainstalls",402918.43,428778.808,"E08000033"
"Feature","","Blackstone Edge Road Culvert 3","","Complex Culvert","Ripponden",398541.031,419988.988,"E08000033"
"Feature","","Castle Carr Road Culvert 2","","Complex Culvert","Wainstalls",403126.992,429073.986,"E08000033"
"Feature","","Stone arch culvert","","Complex Culvert","Shackleton",396042.038,433507.977,"E08000033"
"Feature","","NonMainRiver_RoadsNotMotorways","","Complex Culvert","Wainstalls - Castle Carr Road",404297.024,428836.018,"E08000033"
"Feature","","Hebden Bridge Road Culvert 1","","Complex Culvert","Pecket Well",400726.996,432139.972,"E08000033"
"Feature","","Hebden Bridge Road Culvert 3","","Complex Culvert","Pecket Well",400978.066,432298.781,"E08000033"
"Feature","","Cragg Road Culvert","","Complex Culvert","Mytholmroyd",400641.994,425115.997,"E08000033"
"Feature","","Rochdale Road Culvert 3","","Complex Culvert","Ripponden",401671.996,419248.954,"E08000033"
"Feature","","Stony lane culvert","","Complex Culvert","Ripponden",403860.016,420029,"E08000033"
"Feature","","Upper Birks Culvert","","Complex Culvert","Cragg Vale",400793.973,423961.035,"E08000033"
"Feature","","Bowood Lane Culvert","","Complex Culvert","Triangle",403766.185,422143.489,"E08000033"
"Feature","","Culvert into road drainage","","Complex Culvert","Pecket Well",400051.033,431245.054,"E08000033"
